P;Cmax
Hydroelectric - Andalucia;589.574
Pumped hydroelectric - Andalucia;582.88
Nuclear - Andalucia;0
Coal - Andalucia;1989.4
Fuel/gas - Andalucia;0
Combined cycle - Andalucia;5951.72
Wind - Andalucia;3327.1805
Photovoltaic solar - Andalucia;881.972959
Thermal solar - Andalucia;1000.023
Cogeneration - Andalucia;848.9595
Hydroelectric - Aragon;1333.7075
Pumped hydroelectric - Aragon;219.14
Nuclear - Aragon;0
Coal - Aragon;1055.77
Fuel/gas - Aragon;0
Combined cycle - Aragon;1869.68
Wind - Aragon;2014.77
Photovoltaic solar - Aragon;169.05914
Thermal solar - Aragon;0
Cogeneration - Aragon;478.259
Hydroelectric - Asturias;804.7518
Pumped hydroelectric - Asturias;0
Nuclear - Asturias;0
Coal - Asturias;2099.435
Fuel/gas - Asturias;0
Combined cycle - Asturias;854.17
Wind - Asturias;518.45
Photovoltaic solar - Asturias;0.7428
Thermal solar - Asturias;0
Cogeneration - Asturias;68.924
Hydroelectric - Comunidad Valenciana;639.784
Pumped hydroelectric - Comunidad Valenciana;1511.95
Nuclear - Comunidad Valenciana;1063.94
Coal - Comunidad Valenciana;0
Fuel/gas - Comunidad Valenciana;0
Combined cycle - Comunidad Valenciana;2853.54
Wind - Comunidad Valenciana;1205.24
Photovoltaic solar - Comunidad Valenciana;360.725125
Thermal solar - Comunidad Valenciana;49.9
Cogeneration - Comunidad Valenciana;463.025
Hydroelectric - Cantabria;98.842
Pumped hydroelectric - Cantabria;360.6
Nuclear - Cantabria;0
Coal - Cantabria;0
Fuel/gas - Cantabria;0
Combined cycle - Cantabria;0
Wind - Cantabria;35.3105
Photovoltaic solar - Cantabria;2.193005
Thermal solar - Cantabria;0
Cogeneration - Cantabria;295.5995
Hydroelectric - Castilla-La Mancha;650.242
Pumped hydroelectric - Castilla-La Mancha;215
Nuclear - Castilla-La Mancha;1003.41
Coal - Castilla-La Mancha;0
Fuel/gas - Castilla-La Mancha;0
Combined cycle - Castilla-La Mancha;758.74
Wind - Castilla-La Mancha;3857.3542
Photovoltaic solar - Castilla-La Mancha;925.0232
Thermal solar - Castilla-La Mancha;349.4
Cogeneration - Castilla-La Mancha;355.168
Hydroelectric - Castilla y Leon;4399.3905
Pumped hydroelectric - Castilla y Leon;0
Nuclear - Castilla y Leon;0
Coal - Castilla y Leon;2456.89
Fuel/gas - Castilla y Leon;0
Combined cycle - Castilla y Leon;0
Wind - Castilla y Leon;5591.002
Photovoltaic solar - Castilla y Leon;495.75739
Thermal solar - Castilla y Leon;0
Cogeneration - Castilla y Leon;594.449
Hydroelectric - Catalunya;1913.0778
Pumped hydroelectric - Catalunya;439.32
Nuclear - Catalunya;3032.81
Coal - Catalunya;0
Fuel/gas - Catalunya;0
Combined cycle - Catalunya;3788.23
Wind - Catalunya;1271.16
Photovoltaic solar - Catalunya;269.49988
Thermal solar - Catalunya;24.29
Cogeneration - Catalunya;1011.333
Hydroelectric - Extremadura;2277.8123
Pumped hydroelectric - Extremadura;0
Nuclear - Extremadura;2017.13
Coal - Extremadura;0
Fuel/gas - Extremadura;0
Combined cycle - Extremadura;0
Wind - Extremadura;0
Photovoltaic solar - Extremadura;563.998884
Thermal solar - Extremadura;849.1
Cogeneration - Extremadura;18.077
Hydroelectric - Galicia;3720.24769
Pumped hydroelectric - Galicia;0
Nuclear - Galicia;0
Coal - Galicia;1960.39
Fuel/gas - Galicia;0
Combined cycle - Galicia;1246.98
Wind - Galicia;3411.152
Photovoltaic solar - Galicia;16.657695
Thermal solar - Galicia;0
Cogeneration - Galicia;494.4056
Hydroelectric - La Rioja;52.20554
Pumped hydroelectric - La Rioja;0
Nuclear - La Rioja;0
Coal - La Rioja;0
Fuel/gas - La Rioja;0
Combined cycle - La Rioja;784.7
Wind - La Rioja;448.12
Photovoltaic solar - La Rioja;85.60298
Thermal solar - La Rioja;0
Cogeneration - La Rioja;22.917
Hydroelectric - Madrid;108.5166
Pumped hydroelectric - Madrid;0
Nuclear - Madrid;0
Coal - Madrid;0
Fuel/gas - Madrid;0
Combined cycle - Madrid;0
Wind - Madrid;0
Photovoltaic solar - Madrid;63.698096
Thermal solar - Madrid;0
Cogeneration - Madrid;211.0619
Hydroelectric - Murcia;33.593
Pumped hydroelectric - Murcia;0
Nuclear - Murcia;0
Coal - Murcia;0
Fuel/gas - Murcia;0
Combined cycle - Murcia;3263.71
Wind - Murcia;262.77
Photovoltaic solar - Murcia;441.893946
Thermal solar - Murcia;31.4
Cogeneration - Murcia;314.102
Hydroelectric - Navarra;254.775
Pumped hydroelectric - Navarra;0
Nuclear - Navarra;0
Coal - Navarra;0
Fuel/gas - Navarra;0
Combined cycle - Navarra;1222.32
Wind - Navarra;995.157
Photovoltaic solar - Navarra;162.02222
Thermal solar - Navarra;0
Cogeneration - Navarra;148.3155
Hydroelectric - Pais Vasco;170.1365
Pumped hydroelectric - Pais Vasco;0
Nuclear - Pais Vasco;0
Coal - Pais Vasco;0
Fuel/gas - Pais Vasco;0
Combined cycle - Pais Vasco;1968.07
Wind - Pais Vasco;153.3848
Photovoltaic solar - Pais Vasco;27.009505
Thermal solar - Pais Vasco;0
Cogeneration - Pais Vasco;405.7689
